Date,actual,prediction
2023-11-05,66.74,67.40692596435547
2023-11-06,66.42,66.96763916015625
2023-11-07,67.42,67.08022613525391
2023-11-08,68.92,68.11930541992187
2023-11-09,69.94,69.9522933959961
2023-11-10,68.72,70.54794769287109
2023-11-11,66.44,68.97069702148437
2023-11-12,63.65999999999999,66.74453582763672
2023-11-13,62.75999999999999,64.76860580444335
2023-11-14,62.339999999999996,63.508942413330075
2023-11-15,63.739999999999995,63.400725555419925
2023-11-16,64.0,64.42145309448242
2023-11-17,63.69999999999999,65.06423568725586
2023-11-18,63.14,65.23998794555663
2023-11-19,61.7,65.13115921020508
2023-11-20,60.019999999999996,63.73970031738281
2023-11-21,59.58,61.93636627197266
2023-11-22,59.31999999999999,61.430607604980466
2023-11-23,58.220000000000006,60.47765350341797
2023-11-24,57.839999999999996,58.89587249755859
2023-11-25,57.879999999999995,59.120462799072264
2023-11-26,57.64,59.391455078125
2023-11-27,56.6,59.37435760498047
2023-11-28,54.120000000000005,58.813236236572266
2023-11-29,51.56,57.741669464111325
2023-11-30,49.480000000000004,55.68758926391602
2024-01-01,48.56,54.705651092529294
2024-01-02,49.839999999999996,53.67668762207031
2024-01-03,52.36,54.08423004150391
2024-01-04,55.06,55.621629333496095
2024-01-05,56.160000000000004,57.062800598144534
2024-01-06,58.9,57.38282470703125
2024-01-07,58.8,57.81446380615235
2024-01-08,55.8,57.779107666015626
2024-01-09,52.67999999999999,55.31014709472656
2024-01-10,50.739999999999995,53.17192916870117
2024-01-11,47.839999999999996,51.5325210571289
2024-01-12,48.7,50.797943115234375
2024-01-13,49.68,51.57990417480469
2024-01-14,49.18,51.515516662597655
2024-01-15,50.16,51.72422409057617
2024-01-16,50.86,52.641144561767575
2024-01-17,46.82,52.28750228881836
2024-01-18,44.52,48.677127838134766
2024-01-19,45.34,47.47841873168945
2024-01-20,45.040000000000006,47.77614135742188
2024-01-21,42.440000000000005,46.8141586303711
2024-01-22,42.08,44.27149124145508
2024-01-23,42.720000000000006,45.22740020751953
2024-01-24,40.72,45.283121490478514
2024-01-25,40.160000000000004,43.34011306762695
2024-01-26,42.779999999999994,42.856196594238284
2024-01-27,45.08,45.5001220703125
2024-01-28,45.32000000000001,45.0041145324707
2024-01-29,46.88,46.11105499267578
2024-01-30,48.08,47.36378402709961
2024-01-31,46.540000000000006,48.34003219604492
2024-02-01,44.8,46.39233932495117
2024-02-02,43.660000000000004,46.89117965698242
2024-02-03,43.4,45.120767974853514
2024-02-04,43.42,45.10750045776367
2024-02-05,44.760000000000005,45.331851959228516
2024-02-06,46.14,45.84894943237305
2024-02-07,48.78,46.25183868408203
2024-02-08,49.36,48.388082122802736
2024-02-09,50.38,48.68792495727539
2024-02-10,52.0,49.224493408203124
2024-02-11,51.739999999999995,51.300862884521486
2024-02-12,50.160000000000004,51.90111541748047
2024-02-13,47.18,50.52532272338867
2024-02-14,43.339999999999996,48.73536987304688
2024-02-15,40.1,46.87157363891602
2024-02-16,38.0,44.528665924072264
2024-02-17,36.54,41.846003723144534
2024-02-18,38.22,41.74861831665039
2024-02-19,40.28,42.53528671264648
2024-02-20,39.38,41.937836456298825
2024-02-21,40.620000000000005,41.248450469970706
2024-02-22,42.3,42.530976104736325
2024-02-23,43.220000000000006,42.692780303955075
2024-02-24,43.7,42.84855728149414
2024-02-25,46.519999999999996,43.90907669067383
2024-02-26,48.739999999999995,45.714053344726565
2024-02-27,46.96,46.574303436279294
2024-02-28,43.38000000000001,44.84546737670898
2024-02-29,40.94,42.721886444091794
2024-03-01,38.56,41.51797866821289
2024-03-02,34.7,39.6305648803711
2024-03-03,33.3,36.792170715332034
2024-03-04,34.8,36.00247497558594
2024-03-05,34.2,36.695840454101564
2024-03-06,30.48,35.28799285888672
2024-03-07,29.559999999999995,32.83382797241211
2024-03-08,31.9,33.09384689331055
2024-03-09,33.1,35.55318832397461
2024-03-10,30.119999999999997,35.43951950073242
2024-03-11,29.18,34.010012817382815
2024-03-12,31.26,33.989789199829104
2024-03-13,30.46,33.638010787963864
2024-03-14,29.880000000000003,30.975814819335938
2024-03-15,34.120000000000005,31.53938980102539
2024-03-16,34.84,34.18357620239258
2024-03-17,31.3,34.005123901367185
2024-03-18,30.419999999999998,33.455081939697266
2024-03-19,29.2,34.3865909576416
2024-03-20,28.660000000000004,33.7578800201416
2024-03-21,29.979999999999997,33.41831245422363
2024-03-22,30.620000000000005,34.34565124511719
2024-03-23,30.880000000000003,34.67909698486328
2024-03-24,29.22,34.76141128540039
2024-03-25,25.4,32.019095230102536
2024-03-26,25.0,28.98924789428711
2024-03-27,25.9,29.339872741699217
2024-03-28,26.7,29.54700469970703
2024-03-29,30.74,30.46254959106445
2024-03-30,35.38,34.39628562927246
2024-03-31,35.620000000000005,37.64236907958984
2024-04-01,34.5,36.17379646301269
2024-04-02,33.86,35.39491996765137
2024-04-03,33.04,34.511500930786134
2024-04-04,31.939999999999998,32.73273048400879
2024-04-05,35.2,32.0487476348877
2024-04-06,40.0,35.27026596069336
2024-04-07,44.08,38.0561164855957
2024-04-08,43.62,40.54301071166992
2024-04-09,41.059999999999995,41.78167572021484
2024-04-10,37.1,40.19432601928711
2024-04-11,34.6,38.11016426086426
2024-04-12,34.5,37.1475528717041
2024-04-13,37.06,37.174848556518555
2024-04-14,38.66,37.646650314331055
2024-04-15,39.42,39.79744911193848
2024-04-16,40.3,40.25200424194336
2024-04-17,38.14,41.25775985717773
2024-04-18,39.760000000000005,40.67208023071289
2024-04-19,40.120000000000005,42.04017028808594
